State,Year,Quarter,Price
AK,1975,1,61500
AK,1975,2,62810
AK,1975,3,67390
AK,1975,4,66790
AK,1976,1,70730
AK,1976,2,70570
AK,1976,3,73360
AK,1976,4,73570
AK,1977,1,78170
AK,1977,2,75500
AK,1977,3,77810
AK,1977,4,79650
AK,1978,1,76440
AK,1978,2,80790
AK,1978,3,87060
AK,1978,4,86230
AK,1979,1,87730
AK,1979,2,99460
AK,1979,3,95540
AK,1979,4,94210
AK,1980,1,100000
AK,1980,2,82070
AK,1980,3,71460
AK,1980,4,92020
AK,1981,1,87340
AK,1981,2,107040
AK,1981,3,114840
AK,1981,4,127270
AK,1982,1,134240
AK,1982,2,128360
AK,1982,3,139010
AK,1982,4,137880
AK,1983,1,137060
AK,1983,2,138800
AK,1983,3,144510
AK,1983,4,144160
AK,1984,1,148060
AK,1984,2,146070
AK,1984,3,152390
AK,1984,4,150420
AK,1985,1,142980
AK,1985,2,143310
AK,1985,3,143410
AK,1985,4,140050
AK,1986,1,140820
AK,1986,2,143130
AK,1986,3,138590
AK,1986,4,135290
AK,1987,1,131940
AK,1987,2,122600
AK,1987,3,114520
AK,1987,4,103720
AK,1988,1,119870
AK,1988,2,113880
AK,1988,3,125040
AK,1988,4,130370
AK,1989,1,126850
AK,1989,2,102850
AK,1989,3,102780
AK,1989,4,100740
AK,1990,1,97320
AK,1990,2,110710
AK,1990,3,120230
AK,1990,4,117790
AK,1991,1,122760
AK,1991,2,125560
AK,1991,3,129530
AK,1991,4,129750
AK,1992,1,131150
AK,1992,2,132610
AK,1992,3,133370
AK,1992,4,134070
AK,1993,1,133820
AK,1993,2,134310
AK,1993,3,136580
AK,1993,4,137320
AK,1994,1,138560
AK,1994,2,141750
AK,1994,3,143820
AK,1994,4,142520
AK,1995,1,145060
AK,1995,2,147430
AK,1995,3,148930
AK,1995,4,149010
AK,1996,1,151850
AK,1996,2,154180
AK,1996,3,155090
AK,1996,4,156790
AK,1997,1,156680
AK,1997,2,157820
AK,1997,3,159130
AK,1997,4,161000
AK,1998,1,160840
AK,1998,2,163510
AK,1998,3,164960
AK,1998,4,164800
AK,1999,1,166750
AK,1999,2,170250
AK,1999,3,169790
AK,1999,4,170000
AK,2000,1,169840
AK,2000,2,171930
AK,2000,3,173040
AK,2000,4,173640
AK,2001,1,176620
AK,2001,2,180240
AK,2001,3,182790
AK,2001,4,183140
AK,2002,1,186010
AK,2002,2,191200
AK,2002,3,192620
AK,2002,4,192150
AK,2003,1,193410
AK,2003,2,196470
AK,2003,3,200860
AK,2003,4,208620
AK,2004,1,210070
AK,2004,2,215080
AK,2004,3,226210
AK,2004,4,228610
AK,2005,1,234280
AK,2005,2,243210
AK,2005,3,251800
AK,2005,4,259430
AK,2006,1,263470
AK,2006,2,269990
AK,2006,3,275200
AK,2006,4,276870
AK,2007,1,280610
AK,2007,2,283540
AK,2007,3,282260
AK,2007,4,281810
AK,2008,1,281670
AK,2008,2,281940
AK,2008,3,278780
AK,2008,4,281280
AK,2009,1,281750
AK,2009,2,278950
AK,2009,3,277770
AK,2009,4,279330
AK,2010,1,275120
AK,2010,2,277430
AK,2010,3,278860
AK,2010,4,279630
AK,2011,1,279650
AK,2011,2,278990
AK,2011,3,279740
AK,2011,4,281900
AK,2012,1,279760
AK,2012,2,279450
AK,2012,3,281780
AK,2012,4,284410
AK,2013,1,287540
AK,2013,2,288580
AK,2013,3,291730
AK,2013,4,292610
AK,2014,1,290040
AK,2014,2,296140
AK,2014,3,299230
AK,2014,4,299270
AK,2015,1,301500
AK,2015,2,304720
AK,2015,3,308010
AK,2015,4,310300
AK,2016,1,311100
AK,2016,2,313480
AK,2016,3,314770
AK,2016,4,312870
AK,2017,1,314950
AK,2017,2,316350
AK,2017,3,319820
AK,2017,4,322730
AK,2018,1,319680
AK,2018,2,322690
AK,2018,3,324440
AK,2018,4,321560
AK,2019,1,329890
AK,2019,2,332330
AK,2019,3,333790
AL,1975,1,73000
AL,1975,2,71990
AL,1975,3,74520
AL,1975,4,70680
AL,1976,1,76750
AL,1976,2,76430
AL,1976,3,77110
AL,1976,4,79500
AL,1977,1,81450
AL,1977,2,83490
AL,1977,3,88140
AL,1977,4,89230
AL,1978,1,88490
AL,1978,2,88820
AL,1978,3,96560
AL,1978,4,96260
AL,1979,1,99840
AL,1979,2,100350
AL,1979,3,101980
AL,1979,4,108620
AL,1980,1,100000
AL,1980,2,103550
AL,1980,3,110050
AL,1980,4,109150
AL,1981,1,105580
AL,1981,2,109310
AL,1981,3,113130
AL,1981,4,106960
AL,1982,1,109190
AL,1982,2,107930
AL,1982,3,107780
AL,1982,4,115050
AL,1983,1,114880
AL,1983,2,114240
AL,1983,3,117260
AL,1983,4,114310
AL,1984,1,123840
AL,1984,2,120310
AL,1984,3,125030
AL,1984,4,121650
AL,1985,1,121710
AL,1985,2,124850
AL,1985,3,127670
AL,1985,4,128620
AL,1986,1,129620
AL,1986,2,132060
AL,1986,3,133840
AL,1986,4,136160
AL,1987,1,138280
AL,1987,2,139160
AL,1987,3,139850
AL,1987,4,138390
AL,1988,1,142290
AL,1988,2,143430
AL,1988,3,142860
AL,1988,4,141600
AL,1989,1,141790
AL,1989,2,143520
AL,1989,3,145870
AL,1989,4,146920
AL,1990,1,145740
AL,1990,2,146980
AL,1990,3,147620
AL,1990,4,147750
AL,1991,1,148910
AL,1991,2,151280
AL,1991,3,152010
AL,1991,4,154510
AL,1992,1,155810
AL,1992,2,156070
AL,1992,3,158980
AL,1992,4,160240
AL,1993,1,161430
AL,1993,2,163160
AL,1993,3,166020
AL,1993,4,167440
AL,1994,1,168520
AL,1994,2,170670
AL,1994,3,171220
AL,1994,4,171440
AL,1995,1,173040
AL,1995,2,176460
AL,1995,3,179210
AL,1995,4,180560
AL,1996,1,183810
AL,1996,2,183760
AL,1996,3,184190
AL,1996,4,186310
AL,1997,1,188260
AL,1997,2,189690
AL,1997,3,192510
AL,1997,4,195040
AL,1998,1,198310
AL,1998,2,199950
AL,1998,3,202060
AL,1998,4,204520
AL,1999,1,205160
AL,1999,2,205990
AL,1999,3,206410
AL,1999,4,207950
AL,2000,1,208720
AL,2000,2,210490
AL,2000,3,212140
AL,2000,4,214890
AL,2001,1,221150
AL,2001,2,222060
AL,2001,3,223660
AL,2001,4,226190
AL,2002,1,226590
AL,2002,2,227770
AL,2002,3,231150
AL,2002,4,233820
AL,2003,1,236160
AL,2003,2,238280
AL,2003,3,239930
AL,2003,4,241410
AL,2004,1,243770
AL,2004,2,245280
AL,2004,3,249710
AL,2004,4,253530
AL,2005,1,256920
AL,2005,2,263000
AL,2005,3,268490
AL,2005,4,273910
AL,2006,1,279360
AL,2006,2,284050
AL,2006,3,288620
AL,2006,4,294090
AL,2007,1,296060
AL,2007,2,300240
AL,2007,3,300860
AL,2007,4,303170
AL,2008,1,305180
AL,2008,2,303910
AL,2008,3,301660
AL,2008,4,303250
AL,2009,1,305450
AL,2009,2,301980
AL,2009,3,294840
AL,2009,4,293860
AL,2010,1,289780
AL,2010,2,285500
AL,2010,3,289270
AL,2010,4,286870
AL,2011,1,279240
AL,2011,2,275320
AL,2011,3,277790
AL,2011,4,279890
AL,2012,1,277120
AL,2012,2,275340
AL,2012,3,277200
AL,2012,4,277630
AL,2013,1,274880
AL,2013,2,275460
AL,2013,3,274740
AL,2013,4,273570
AL,2014,1,275520
AL,2014,2,276790
AL,2014,3,279620
AL,2014,4,281090
AL,2015,1,284250
AL,2015,2,285210
AL,2015,3,287230
AL,2015,4,289320
AL,2016,1,290090
AL,2016,2,293710
AL,2016,3,298970
AL,2016,4,297950
AL,2017,1,299640
AL,2017,2,304160
AL,2017,3,307460
AL,2017,4,309570
AL,2018,1,311320
AL,2018,2,318070
AL,2018,3,323660
AL,2018,4,324110
AL,2019,1,330880
AL,2019,2,335660
