"Table 219.20. Public high school graduates, by region, state, and jurisdiction: Selected years, 1980-81 through 2026-27",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Actual data,,,,,,,,,,,,Projected data,,,,,,,,,,,,,,
,1980-81,1989-90,,1999-2000,2007-08,,2008-09,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,"Percent
change,
2012-13 to 
2026-27"
1 ,2,3,,4,5,,6,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
   United States .........,"2,725,285","2,320,337",\1\,"2,553,844","3,001,337",,"3,039,015",\1\,"3,128,022","3,144,100","3,149,185","3,169,257","3,168,450","3,187,000","3,225,160","3,253,730","3,297,050","3,299,910","3,265,550","3,287,230","3,309,540","3,316,280","3,386,980","3,443,430","3,424,140","3,327,500",5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Northeast .......................,"593,727","446,045",,"453,814","552,289",,"552,973",,"556,400","556,611","554,705","555,202","546,910","543,080","548,200","543,580","547,690","542,370","535,360","539,600","538,460","533,830","539,470","547,590","542,430","524,270",-5.6
  Midwest .......................,"784,071","616,700",,"648,020","721,220",,"717,536",,"726,844","718,779","716,072","713,662","705,550","708,240","704,100","708,920","713,060","715,500","703,240","703,940","714,180","705,660","719,350","727,720","717,890","693,320",-2.9
  South .......................,"868,068","796,385",,"861,498","1,031,773",,"1,068,270",,"1,104,770","1,119,414","1,121,400","1,138,965","1,145,570","1,162,950","1,192,410","1,217,720","1,247,340","1,255,590","1,242,010","1,246,320","1,252,900","1,265,780","1,297,030","1,340,120","1,342,950","1,311,130",15.1
  West .......................,"479,419","461,207",,"590,512","696,055",,"700,236",,"740,008","749,296","757,008","761,428","770,420","772,720","780,450","783,510","788,960","786,440","784,940","797,370","804,000","811,000","831,130","827,990","820,870","798,780",4.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Alabama ..................,"44,894","40,485",,"37,819","41,346",,"42,082",,"43,166","46,035","45,394","44,233","44,540","45,420","45,910","45,490","45,100","44,400","42,750","41,800","42,060","41,890","42,070","43,330","43,570","42,210",-4.6
  Alaska ...................,"5,343","5,386",,"6,615","7,855",,"8,008",,"8,245","8,064","7,989","7,860","7,720","7,860","7,690","7,930","7,940","7,880","7,650","7,590","7,730","7,950","8,200","8,530","8,620","8,380",6.6
  Arizona ..................,"28,416","32,103",,"38,304","61,667",,"62,374",,"61,145","64,472","63,208","62,208","66,700","67,200","67,290","68,190","66,760","67,240","66,550","68,050","69,230","70,780","72,770","75,270","74,870","72,760",17.0
  Arkansas .................,"29,577","26,475",,"27,335","28,725",,"28,057",,"28,276","28,205","28,419","28,928","29,610","30,350","30,610","30,960","30,970","31,010","30,990","30,510","30,510","30,220","30,110","32,190","31,930","30,920",6.9
  California ...............,"242,172","236,291",,"309,866","374,561",,"372,310",\2\,"404,987","410,467","418,664","422,125","424,080","422,830","424,430","422,200","426,140","420,520","419,670","425,880","428,690","431,410","442,160","427,290","418,940","406,100",-3.8
,, ,, , ,, ,, , , , ,,,,,,,,,,,,,,,
  Colorado .................,"35,897","32,967",,"38,924","46,082",,"47,459",,"49,321","50,122","50,087","50,968","51,310","51,450","53,470","54,630","56,300","57,330","58,000","59,620","59,600","60,030","61,370","62,430","62,890","61,280",20.2
  Connecticut ..............,"38,369","27,878",,"31,562","38,419",,"34,968",,"34,495","38,854","38,681","38,722","37,860","37,160","36,660","36,970","36,440","36,090","35,220","35,890","34,910","34,710","34,120","34,500","33,470","32,000",-17.4
  Delaware .................,"7,349","5,550",,"6,108","7,388",,"7,839",,"8,133","8,043","8,247","8,070","8,240","8,390","8,360","8,540","8,780","8,690","8,790","9,190","9,270","9,360","9,670","9,710","9,970","9,690",20.1
  District of Columbia\3\ ..,"4,848","3,626",,"2,695","3,352",,"3,517",,"3,602","3,477","3,860","3,961","3,880","3,990","3,950","3,690","3,820","3,930","3,690","3,810","3,830","4,140","4,390","4,820","4,950","5,070",28.0
  Florida ..................,"88,755","88,934",,"106,708","149,046",,"153,461",,"156,130","155,493","151,964","158,029","158,440","163,740","165,090","170,990","173,290","176,060","171,230","172,080","174,950","178,000","183,980","190,880","191,140","187,730",18.8
,, ,, , ,, ,, , , , ,,,,,,,,,,,,,,,
  Georgia ..................,"62,963","56,605",,"62,563","83,505",,"88,003",,"91,561","92,338","90,582","92,416","94,380","97,420","99,770","102,660","104,820","106,090","105,030","104,480","105,380","106,740","109,140","112,230","113,150","110,210",19.3
  Hawaii ...................,"11,472","10,325",,"10,437","11,613",,"11,508",,"10,998","10,716","11,360","10,790","11,050","10,760","10,920","10,930","11,060","10,580","11,190","11,290","11,430","11,710","11,740","12,110","12,120","11,830",9.6
  Idaho ....................,"12,679","11,971",,"16,170","16,567",,"16,807",,"17,793","17,525","17,568","17,198","19,120","18,050","18,180","18,670","18,940","19,340","19,330","19,390","19,540","19,660","19,520","19,720","19,460","19,040",10.7
  Illinois .................,"136,795","108,119",,"111,835","135,143",,"131,670",,"139,035","134,956","139,575","139,228","137,640","140,520","136,820","137,340","138,320","140,550","139,380","140,030","143,440","142,830","143,090","145,890","140,460","134,620",-3.3
  Indiana ..................,"73,381","60,012",,"57,012","61,901",,"63,663",,"64,551","66,133","65,667","66,595","67,560","66,750","67,190","67,620","68,200","69,730","66,680","65,120","66,400","64,530","66,050","66,940","66,590","64,500",-3.1
,, ,, , ,, ,, , , , ,,,,,,,,,,,,,,,
